freq,regisveh,unit,vehicle,geo\TIME_PERIOD	1970 	1971 	1972 	1973 	1974 	1975 	1976 	1977 	1978 	1979 	1980 	1981 	1982 	1983 	1984 	1985 	1986 	1987 	1988 	1989 	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,D001,MIO_VKM,CAR,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	19271 	: 	20540 	21558 	22894 	24826 	27312 	: 	: 	: 	: 	27505.1 	: 	: 	: 	29036 	30227 	31769 	32741 	: 	: 	: 	: 	32031 	32645 	35020 	36623 	37181 	36817 	36301 	26654 
A,D001,MIO_VKM,CAR,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1779 	1885 	1991 	2017 r	2210 r	2272 r	2338 r	2414 e	2580 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,D001,MIO_VKM,CAR,LI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: z	: z	: z	: z	: 	: z	: z	: z	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,D001,MIO_VKM,CAR,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7050.8 	6752.6 	7205.9 	8382.5 	18995.3 	18027.7 	16284.4 	15932.5 	: 	7899 	8374 	8488 	8976 	9404 	9696 	10084 	9413 
A,D001,MIO_VKM,CAR,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5731 	: 	: 	: 	: 	7978.6 	9504.8 	11135.5 	9945.9 	8865.13 	8592 	8107.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,D001,MIO_VKM,CAR,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1927.020 e	2021 e	: 	: 	: 
A,D001,MIO_VKM,CAR,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3121.182 	3343.041 	3455 	3544 	3777 	3725 	3834.400 	3862.764 e
A,D001,MIO_VKM,CAR,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1334 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,D001,MIO_VKM,CAR,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	83325 	85336 	89094 	89973 	89661 	: 	: 	: 	: 	: 	: 	: 	: 	108235 	109995 	112334 	113837 	113704 	113237 	115688 	: 	103211 	103699 	105089 	107708 	108936 	110356 	110227 	92654 
A,D001,MIO_VKM,CAR,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	28708 	29880 	32247 	32714 	32305 e	32410 e	32702 	: 	33931 e	33841 e	34435 e	34848 e	35407 e	35989 e	35504 e	33873 
